SERVICE_MINILINK,hour,speed
1220028000_037,0,26.620138888888885
1220028000_037,1,29.387210648148155
1220028000_037,2,30.617418981481478
1220028000_037,3,31.320601851851855
1220028000_037,4,32.51134259259259
1220028000_037,5,40.11435185185186
1220028000_037,6,44.33489583333333
1220028000_037,7,33.295775462962965
1220028000_037,8,29.42615740740741
1220028000_037,9,24.165972222222223
1220028000_037,10,21.652430555555554
1220028000_037,11,20.22048611111111
1220028000_037,12,26.611805555555556
1220028000_037,13,18.955034722222223
1220028000_037,14,20.03634259259259
1220028000_037,15,18.213831018518515
1220028000_037,16,20.80439814814815
1220028000_037,17,23.388194444444444
1220028000_037,18,23.163194444444443
1220028000_037,19,27.08356481481481
1220028000_037,20,28.68611111111111
1220028000_037,21,28.412384259259255
1220028000_037,22,29.947222222222223
1220028000_037,23,26.910416666666666
1220028000_038,0,27.94247685185185
1220028000_038,1,33.20515046296296
1220028000_038,2,34.56950231481482
1220028000_038,3,35.987847222222214
1220028000_038,4,35.787152777777784
1220028000_038,5,40.3228587962963
1220028000_038,6,45.33605324074074
1220028000_038,7,33.365393518518516
1220028000_038,8,31.369791666666668
1220028000_038,9,25.21388888888889
1220028000_038,10,21.1234375
1220028000_038,11,20.407060185185188
1220028000_038,12,27.823842592592595
1220028000_038,13,20.310300925925926
1220028000_038,14,18.462268518518517
1220028000_038,15,18.68888888888889
1220028000_038,16,21.221527777777776
1220028000_038,17,24.438541666666666
1220028000_038,18,25.80891203703704
1220028000_038,19,29.453009259259257
1220028000_038,20,31.227083333333333
1220028000_038,21,29.045833333333334
1220028000_038,22,30.878298611111113
1220028000_038,23,27.724537037037035
1220028000_039,0,31.28420138888889
1220028000_039,1,34.962673611111114
1220028000_039,2,36.241956018518515
1220028000_039,3,38.37696759259259
1220028000_039,4,38.052835648148154
1220028000_039,5,43.04594907407407
1220028000_039,6,49.1255787037037
1220028000_039,7,36.56857638888889
1220028000_039,8,28.90601851851852
1220028000_039,9,24.862731481481482
1220028000_039,10,22.407002314814815
1220028000_039,11,20.941435185185185
1220028000_039,12,29.69924768518519
1220028000_039,13,20.412847222222222
1220028000_039,14,19.934201388888887
1220028000_039,15,20.535648148148148
1220028000_039,16,23.36689814814815
1220028000_039,17,25.490625
1220028000_039,18,25.974479166666665
1220028000_039,19,28.6703125
1220028000_039,20,33.45532407407407
1220028000_039,21,32.33622685185185
1220028000_039,22,33.678414351851856
